iShares Core S&P 500 ETF
Fund Holdings as of,"May 28, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,109,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","68,383,346,375.75","8.02","68,383,346,375.75","319,175,479.00","214.25","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","60,262,543,027.17","7.06","60,262,543,027.17","192,833,967.00","312.51","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","41,646,023,445.45","4.88","41,646,023,445.45","97,533,955.00","426.99","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","35,157,173,448.00","4.12","35,157,173,448.00","128,310,852.00","274.00","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","29,833,490,002.94","3.50","29,833,490,002.94","76,470,638.00","390.13","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","26,565,637,211.96","3.11","26,565,637,211.96","62,275,862.00","426.58","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","23,718,312,937.20","2.78","23,718,312,937.20","61,427,310.00","386.12","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,250,779,471.85","2.14","18,250,779,471.85","28,728,265.00","635.29","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","16,331,594,437.10","1.91","16,331,594,437.10","36,940,951.00","442.10","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","13,652,711,080.32","1.60","13,652,711,080.32","14,783,341.00","923.52","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,728,251,601.20","1.37","11,728,251,601.20","10,408,459.00","1,126.80","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,498,937,126.18","1.35","11,498,937,126.18","24,085,579.00","477.42","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","11,095,024,800.14","1.30","11,095,024,800.14","21,415,246.00","518.09","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,508,431,234.14","1.23","10,508,431,234.14","35,414,118.00","296.73","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","8,066,661,293.68","0.95","8,066,661,293.68","54,890,183.00","146.96","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","7,455,520,222.15","0.87","7,455,520,222.15","61,671,935.00","120.89","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,305,664,728.00","0.86","7,305,664,728.00","31,653,660.00","230.80","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,175,128,014.30","0.84","7,175,128,014.30","22,080,714.00","324.95","United States","NYSE","USD","1.00","USD","-"
