iShares Russell 1000 ETF
Fund Holdings as of,"May 18, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"118,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,661,748,016.08","7.71","3,661,748,016.08","16,470,619.00","222.32","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","3,019,654,116.24","6.36","3,019,654,116.24","10,138,511.00","297.84","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,210,576,815.98","4.66","2,210,576,815.98","5,219,287.00","423.54","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,788,007,617.90","3.77","1,788,007,617.90","6,750,765.00","264.86","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,623,781,511.12","3.42","1,623,781,511.12","4,090,748.00","396.94","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,367,357,985.20","2.88","1,367,357,985.20","3,250,120.00","420.71","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,309,395,553.93","2.76","1,309,395,553.93","3,330,863.00","393.11","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","939,155,947.92","1.98","939,155,947.92","1,536,552.00","611.21","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","814,121,652.89","1.71","814,121,652.89","1,985,711.00","409.99","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","633,914,309.72","1.34","633,914,309.72","1,297,994.00","488.38","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","574,929,900.13","1.21","574,929,900.13","1,911,781.00","300.73","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","557,077,237.28","1.17","557,077,237.28","563,792.00","988.09","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","535,905,806.64","1.13","535,905,806.64","786,316.00","681.54","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","477,163,250.85","1.01","477,163,250.85","2,973,165.00","160.49","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","476,850,321.12","1.00","476,850,321.12","1,132,688.00","420.99","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","408,258,945.26","0.86","408,258,945.26","3,061,789.00","133.34","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","394,059,980.16","0.83","394,059,980.16","1,184,644.00","332.64","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","387,680,369.48","0.82","387,680,369.48","1,693,519.00","228.92","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","336,259,086.84","0.71","336,259,086.84","312,372.00","1,076.47","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","335,972,342.22","0.71","335,972,342.22","3,105,966.00","108.17","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","332,795,406.24","0.70","332,795,406.24","2,799,423.00","118.88","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","286,377,286.42","0.60","286,377,286.42","566,198.00","505.79","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","281,342,725.65","0.59","281,342,725.65","325,647.00","863.95","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","267,382,738.70","0.56","267,382,738.70","2,982,518.00","89.65","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","261,133,432.36","0.55","261,133,432.36","1,246,996.00","209.41","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","258,611,480.68","0.54","258,611,480.68","1,318,639.00","196.12","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","250,411,595.38","0.53","250,411,595.38","640,226.00","391.13","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","245,520,678.20","0.52","245,520,678.20","883,295.00","277.96","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","235,455,392.05","0.50","235,455,392.05","1,653,595.00","142.39","United States","NYSE","USD","1.00","USD","-"
