iShares Russell 2000 ETF
Fund Holdings as of,"May 18, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"273,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","1,315,948,853.09","1.74","1,315,948,853.09","5,086,579.00","258.71","United States","NYSE","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","588,619,648.98","0.78","588,619,648.98","840,573.00","700.26","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","586,951,995.24","0.78","586,951,995.24","3,756,012.00","156.27","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","535,040,781.48","0.71","535,040,781.48","694,173.00","770.76","United States","NASDAQ","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","456,552,607.04","0.60","456,552,607.04","3,394,948.00","134.48","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","430,411,466.85","0.57","430,411,466.85","3,154,353.00","136.45","United States","NASDAQ","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","415,884,805.00","0.55","415,884,805.00","23,764,846.00","17.50","United States","NYSE","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","396,031,835.01","0.52","396,031,835.01","8,031,471.00","49.31","United States","NYSE","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","380,008,897.16","0.50","380,008,897.16","523,724.00","725.59","United States","NASDAQ","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","378,482,202.54","0.50","378,482,202.54","2,382,489.00","158.86","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","311,083,507.28","0.41","311,083,507.28","2,513,603.00","123.76","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","301,296,694.79","0.40","301,296,694.79","1,219,183.00","247.13","United States","NYSE","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","286,857,488.79","0.38","286,857,488.79","2,166,761.00","132.39","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","285,022,580.50","0.38","285,022,580.50","679,175.00","419.66","United States","NYSE","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","279,635,137.00","0.37","279,635,137.00","1,242,050.00","225.14","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","276,228,963.92","0.36","276,228,963.92","2,887,612.00","95.66","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","271,071,890.10","0.36","271,071,890.10","877,085.00","309.06","United States","NASDAQ","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","267,016,906.50","0.35","267,016,906.50","5,367,174.00","49.75","United States","NASDAQ","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","266,326,089.22","0.35","266,326,089.22","1,537,147.00","173.26","United States","NASDAQ","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","262,196,219.19","0.35","262,196,219.19","6,301,279.00","41.61","United States","NYSE","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","261,339,872.91","0.35","261,339,872.91","1,772,637.00","147.43","United States","NYSE","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","255,170,027.70","0.34","255,170,027.70","14,783,895.00","17.26","United States","NYSE","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","240,792,839.24","0.32","240,792,839.24","3,686,357.00","65.32","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","236,977,241.53","0.31","236,977,241.53","236,977,242.00","100.00","United States","-","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","232,603,587.15","0.31","232,603,587.15","3,145,417.00","73.95","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","230,364,110.02","0.30","230,364,110.02","1,303,997.00","176.66","United States","NASDAQ","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","228,092,750.22","0.30","228,092,750.22","4,206,801.00","54.22","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","226,416,749.16","0.30","226,416,749.16","3,011,662.00","75.18","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","224,608,793.17","0.30","224,608,793.17","1,120,411.00","200.47","United States","NYSE","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","219,524,359.60","0.29","219,524,359.60","2,281,958.00","96.20","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","218,996,887.80","0.29","218,996,887.80","963,047.00","227.40","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","217,865,257.56","0.29","217,865,257.56","1,051,524.00","207.19","United States","NYSE","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","217,194,109.44","0.29","217,194,109.44","5,231,072.00","41.52","United States","NYSE","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","216,615,006.96","0.29","216,615,006.96","5,534,364.00","39.14","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","214,723,000.24","0.28","214,723,000.24","1,693,132.00","126.82","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","214,558,830.30","0.28","214,558,830.30","22,188,090.00","9.67","United States","NYSE","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","212,820,462.24","0.28","212,820,462.24","1,812,472.00","117.42","United States","NASDAQ","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","208,834,877.37","0.28","208,834,877.37","4,169,193.00","50.09","United States","NYSE","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","207,804,100.48","0.27","207,804,100.48","923,738.00","224.96","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","207,593,247.08","0.27","207,593,247.08","312,283.00","664.76","United States","NYSE","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","207,579,636.01","0.27","207,579,636.01","397,487.00","522.23","United States","NASDAQ","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","205,704,965.76","0.27","205,704,965.76","2,876,188.00","71.52","United States","NASDAQ","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","200,324,001.20","0.26","200,324,001.20","654,226.00","306.20","United States","NYSE","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","192,537,918.60","0.25","192,537,918.60","5,804,580.00","33.17","United States","NYSE","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","192,406,786.81","0.25","192,406,786.81","600,277.00","320.53","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","192,271,795.08","0.25","192,271,795.08","856,788.00","224.41","United States","NYSE","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","192,208,059.38","0.25","192,208,059.38","636,577.00","301.94","United States","NYSE","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","191,244,262.32","0.25","191,244,262.32","8,148,456.00","23.47","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","189,734,695.60","0.25","189,734,695.60","1,712,407.00","110.80","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","188,228,275.84","0.25","188,228,275.84","8,120,288.00","23.18","United States","NASDAQ","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","184,757,791.52","0.24","184,757,791.52","1,299,464.00","142.18","United States","NYSE","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","183,529,976.04","0.24","183,529,976.04","1,420,071.00","129.24","United States","NYSE","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","181,659,768.29","0.24","181,659,768.29","2,592,547.00","70.07","United States","NYSE","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","177,803,524.00","0.23","177,803,524.00","666,430.00","266.80","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","176,298,392.32","0.23","176,298,392.32","604,424.00","291.68","United States","NYSE","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","175,697,300.13","0.23","175,697,300.13","1,584,143.00","110.91","United States","NYSE","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","169,640,445.66","0.22","169,640,445.66","8,024,619.00","21.14","United States","NASDAQ","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","168,808,933.66","0.22","168,808,933.66","3,004,787.00","56.18","United States","NASDAQ","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","168,019,408.50","0.22","168,019,408.50","575,902.00","291.75","United States","NASDAQ","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","167,675,515.70","0.22","167,675,515.70","3,491,785.00","48.02","United States","NYSE","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","166,262,146.56","0.22","166,262,146.56","2,839,176.00","58.56","United States","NYSE","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","166,221,937.30","0.22","166,221,937.30","3,747,958.00","44.35","United States","NYSE","USD","1.00","USD","-"
"MXL","MAXLINEAR INC","Information Technology","Equity","166,176,973.64","0.22","166,176,973.64","1,900,034.00","87.46","United States","NASDAQ","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","164,678,467.70","0.22","164,678,467.70","1,451,935.00","113.42","United States","NYSE","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","164,261,209.20","0.22","164,261,209.20","758,362.00","216.60","United States","NASDAQ","USD","1.00","USD","-"
