iShares Russell 3000 ETF
Fund Holdings as of,"May 20, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,429,727,092.56","7.37","1,429,727,092.56","6,397,848.00","223.47","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,190,321,856.75","6.13","1,190,321,856.75","3,938,203.00","302.25","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","853,649,885.98","4.40","853,649,885.98","2,027,383.00","421.06","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","694,928,567.73","3.58","694,928,567.73","2,622,273.00","265.01","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","617,980,323.46","3.18","617,980,323.46","1,589,006.00","388.91","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","527,411,138.24","2.72","527,411,138.24","1,262,474.00","417.76","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","497,997,091.50","2.57","497,997,091.50","1,293,835.00","384.90","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","361,134,901.48","1.86","361,134,901.48","596,858.00","605.06","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","321,842,652.24","1.66","321,842,652.24","771,324.00","417.26","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","242,322,624.60","1.25","242,322,624.60","503,894.00","480.90","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","224,321,313.30","1.16","224,321,313.30","742,835.00","301.98","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","223,473,619.04","1.15","223,473,619.04","305,296.00","731.99","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","223,035,737.35","1.15","223,035,737.35","218,905.00","1,018.87","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","197,038,590.98","1.02","197,038,590.98","440,231.00","447.58","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","180,436,043.32","0.93","180,436,043.32","1,154,569.00","156.28","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","155,523,206.85","0.80","155,523,206.85","1,188,561.00","130.85","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","152,103,987.00","0.78","152,103,987.00","459,876.00","330.75","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","150,898,063.68","0.78","150,898,063.68","658,024.00","229.32","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","143,451,246.88","0.74","143,451,246.88","1,205,878.00","118.96","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","130,348,297.66","0.67","130,348,297.66","121,366.00","1,074.01","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","124,507,710.50","0.64","124,507,710.50","1,088,830.00","114.35","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","110,408,507.04","0.57","110,408,507.04","126,534.00","872.56","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","109,467,199.84","0.56","109,467,199.84","219,796.00","498.04","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","102,830,901.80","0.53","102,830,901.80","484,366.00","212.30","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","102,043,191.73","0.53","102,043,191.73","1,158,397.00","88.09","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","100,282,383.43","0.52","100,282,383.43","343,327.00","292.09","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","97,990,807.48","0.50","97,990,807.48","512,156.00","191.33","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","95,332,076.20","0.49","95,332,076.20","248,714.00","383.30","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","92,559,861.40","0.48","92,559,861.40","216,844.00","426.85","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","91,952,983.15","0.47","91,952,983.15","1,794,905.00","51.23","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","91,338,083.16","0.47","91,338,083.16","641,239.00","142.44","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","86,677,221.12","0.45","86,677,221.12","460,657.00","188.16","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","86,596,232.45","0.45","86,596,232.45","1,061,879.00","81.55","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","85,392,661.77","0.44","85,392,661.77","284,481.00","300.17","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","84,450,118.38","0.44","84,450,118.38","271,911.00","310.58","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","81,800,237.35","0.42","81,800,237.35","596,429.00","137.15","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","80,433,529.67","0.41","80,433,529.67","426,409.00","188.63","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","78,982,090.40","0.41","78,982,090.40","80,420.00","982.12","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","76,770,505.00","0.40","76,770,505.00","679,385.00","113.00","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","75,669,081.84","0.39","75,669,081.84","248,193.00","304.88","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","75,638,262.56","0.39","75,638,262.56","73,828.00","1,024.52","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","65,763,958.09","0.34","65,763,958.09","35,947.00","1,829.47","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","65,125,766.61","0.34","65,125,766.61","128,547.00","506.63","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","64,201,517.94","0.33","64,201,517.94","846,874.00","75.81","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","63,900,156.45","0.33","63,900,156.45","365,457.00","174.85","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","61,402,640.75","0.32","61,402,640.75","310,475.00","197.77","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","59,261,918.87","0.31","59,261,918.87","292,637.00","202.51","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","59,013,273.34","0.30","59,013,273.34","472,787.00","124.82","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","57,255,300.00","0.29","57,255,300.00","254,468.00","225.00","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","55,859,839.30","0.29","55,859,839.30","374,170.00","149.29","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","55,248,024.06","0.28","55,248,024.06","1,155,333.00","47.82","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","54,672,829.44","0.28","54,672,829.44","195,072.00","280.27","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","54,528,471.92","0.28","54,528,471.92","39,157.00","1,392.56","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","54,062,198.82","0.28","54,062,198.82","219,177.00","246.66","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","53,255,905.60","0.27","53,255,905.60","133,792.00","398.05","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","50,618,995.76","0.26","50,618,995.76","486,347.00","104.08","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","50,320,078.90","0.26","50,320,078.90","570,070.00","88.27","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","48,742,116.28","0.25","48,742,116.28","147,004.00","331.57","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","48,686,258.79","0.25","48,686,258.79","305,799.00","159.21","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","47,068,538.04","0.24","47,068,538.04","1,888,028.00","24.93","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","46,590,391.96","0.24","46,590,391.96","103,124.00","451.79","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","45,796,753.20","0.24","45,796,753.20","206,106.00","222.20","United States","NYSE","USD","1.00","USD","-"
